,Topik 1,Topik 2,Topik 3
ditujuadanya,6.648390068082124e-06,7.1261656974141695e-06,4.0392962990033814e-05
ditularkan,6.77798552581809e-06,7.824891297805484e-05,6.732160624548471e-06
dituli,6.7922377536889605e-06,8.806186263483231e-05,9.842974416050943e-05
dituliskan,6.648390096732786e-06,4.261991320094965e-05,6.861661752289472e-06
ditunjukan,6.648390049261177e-06,4.275699358793406e-05,6.732160576523338e-06
dituntut,0.00019174348810621302,7.141216027410836e-06,8.8577044232533e-05
diturunkan,6.648390153362369e-06,4.275699700080495e-05,4.039295986157982e-05
diubah,6.880227720266799e-06,0.00015625513356465047,6.757857737184231e-05
diuji,7.961072155349511e-05,0.0004954247955536015,0.00014476590696102005
diujikan,6.7327659090584496e-06,0.00014964957962237453,4.030742802900594e-05
diukur,0.00022823855053516785,0.00023269819591216237,6.840199077351138e-06
diupdat,3.8584527083655823e-05,8.525818391331232e-06,6.7321607347234015e-06
diuru,3.9890339853011536e-05,7.126165689281795e-06,6.732160588478044e-06
diurutkan,0.00010637423985290961,7.126165676265015e-06,6.732160576782317e-06
diusulkan,4.381046803027789e-05,0.00057228385350326,4.108611567618923e-05
divergen,6.648390055487036e-06,7.126165683176394e-06,4.039296301623828e-05
diverifikasi,3.989033985905988e-05,7.126165685886327e-06,6.732160585561249e-06
divers,6.648390040253854e-06,0.00011401864977471062,6.732160567101792e-06
divis,0.00017285813984080475,7.126165669828122e-06,6.7321605709823876e-06
divisi,6.7209862346083504e-06,7.164677993026746e-06,7.394387176373851e-05
divisualisasikan,0.00010621611317523454,1.4425338575014635e-05,6.731828265209625e-05
divot,6.648390034331849e-06,4.275699362034324e-05,6.732160561023635e-06
diwajibkan,1.0424454337194664e-05,7.126165743437425e-06,7.02301224214861e-05
diwakili,6.685452709899418e-06,0.00018509966092602301,6.865288071250712e-06
diwarnai,3.989033986344083e-05,7.1261656835111714e-06,6.73216058336896e-06
diwaspadai,6.648390064918956e-06,4.275699355403703e-05,6.7321605926909806e-06
dj,6.929977443553687e-06,7.808599840216342e-05,6.732160632727651e-06
django,6.648390065096174e-06,7.1261656941602204e-06,4.039296299613146e-05
dkpp,6.648390133076076e-06,4.242192047346224e-05,7.048707441660446e-06
dlda,6.648390043007685e-06,0.0002209111340193166,6.732160570030946e-06
dll,1.982260433043031e-05,4.275698469408275e-05,6.07135632190083e-05
dm,6.682480275451457e-06,0.00018524376583987757,6.7321605935311085e-06
dmp,6.648390032986627e-06,0.00022091113404108182,6.73216055961653e-06
dna,6.648390084540113e-06,4.275699351144922e-05,6.732160613055554e-06
dnmf,6.648390118349391e-06,7.590069749004487e-06,0.00014093711594774825
do,6.648390083831946e-06,7.823808902434758e-05,6.873614483136837e-06
doc,6.648390082851511e-06,7.126165714560163e-06,4.0392962958880206e-05
document,6.648390047221542e-06,4.2756993592332097e-05,6.732160574433809e-06
dokter,0.0009176781694511334,0.0001686793752746793,7.606963719759798e-05
dokumen,0.00014962638299253895,0.004235216849982726,0.00044550187466474813
dokumendokumen,6.648390104729698e-06,5.6895903417548435e-05,9.435739766295266e-05
dokumentasi,6.648390071636805e-06,7.132273885036281e-06,4.038719251998035e-05
dokumentasinya,3.926141208119733e-05,7.126165994254321e-06,7.369012638321653e-06
domain,6.666392876019671e-06,0.0002025503938400135,0.00032700673084233133
domin,6.648390040036938e-06,7.838782169155896e-05,6.732160566934562e-06
dominan,3.8369730201691936e-05,8.001770756930576e-05,6.732160636890096e-06
dominasi,0.00010637426158378155,7.126165757503341e-06,4.039294110999529e-05
donor,0.00023934209783115594,7.131177186310697e-06,7.40489726252543e-05
dosen,6.475557731499872e-05,7.3475952795922066e-06,0.0015634021542346088
dosi,6.955327465950869e-06,4.2427998509119855e-05,6.732160679342884e-06
doubl,6.6483900422975955e-06,7.126165667959313e-06,0.00020869697611872315
down,6.648390065658332e-06,7.831710039867347e-05,6.798971659495307e-06
download,0.00010637424327422028,7.1623817881413755e-06,0.00010768035123077504
dpa,3.980949701584703e-05,7.126165703128799e-06,6.814022042073457e-06
dpca,6.6483900441245575e-06,0.0002921727901840016,6.732160571181848e-06
dperbandingkan,6.648390043179435e-06,4.275699360111986e-05,6.7321605702249995e-06
dperoleh,6.648390071305836e-06,4.2756993540255644e-05,6.732160599242993e-06
dpi,3.963314370256992e-05,7.1261657692322135e-06,6.992597365990027e-06
dpl,6.648390052902393e-06,7.12616568011861e-06,0.00010771456825167134
dr,6.656796597721357e-06,0.0005354279107547908,0.00011352610869728144
drag,3.982326921294118e-05,7.126165699840632e-06,6.800076316736877e-06
dribl,3.989033982781577e-05,7.126165703065186e-06,6.7321606009698645e-06
drive,6.648390080612471e-06,0.0003278036562785457,0.000175036137699321
drivebachand,3.989033977866038e-05,7.12616573003344e-06,6.732160625267216e-06
driven,6.648390096884609e-06,0.0004843723150005054,0.00016176735730792492
drop,6.648390054954213e-06,7.126165682572885e-06,4.039296301734797e-05
dropbox,6.648390072213968e-06,4.2587634597519374e-05,6.8921556992660905e-06
dropshot,3.989033977866038e-05,7.12616573003344e-06,6.732160625267216e-06
drupal,6.648390050253601e-06,7.126165677105194e-06,7.40537656422499e-05
dsb,6.674380378298812e-06,4.275698091280868e-05,7.402745997007147e-05
dsdm,0.0001062949725584471,7.1261656942750705e-06,6.81242663171408e-06
dsebut,6.648390071305836e-06,4.2756993540255644e-05,6.732160599242993e-06
duduk,7.301713508151144e-05,7.1261657056428735e-06,6.848766296525482e-06
dugaan,3.989033983616198e-05,7.1261656984454906e-06,6.732160596882799e-06
dukungan,5.768001432275747e-05,7.126165749966976e-06,0.00012336154445150414
dungeon,0.00047203568971988195,7.126165677312949e-06,6.732160577700497e-06
dungeoncrawl,3.989033984219238e-05,7.126165695204312e-06,6.732160593838417e-06
duni,3.989033984930649e-05,7.126165691277418e-06,6.732160590344471e-06
dunia,0.0007147241907185707,0.00038653757230098596,0.0015568433401347292
dunn,0.00013947533062404685,7.277147480198448e-06,6.732160604151685e-06
duplikasi,6.663883012215989e-06,7.126165686173855e-06,4.037727484351018e-05
durasi,6.648390077133025e-06,7.32714961224559e-06,4.020309144946859e-05
dvd,3.956860166256657e-05,7.1261657767861186e-06,7.057952636359271e-06
dwi,6.648390047494995e-06,7.126165673977437e-06,4.039296303302145e-05
dwt,6.648390060106763e-06,4.2756993564320934e-05,6.732160587848548e-06
dychotom,7.305284021219797e-05,7.126165708012442e-06,6.812611274633362e-06
dynam,7.304884615661996e-05,7.1261656981728866e-06,6.816655665088061e-06
eam,6.6483900456028875e-06,7.836396831422243e-05,6.754695087391394e-06
ebu,3.912843800159298e-05,7.208403078460621e-06,7.425972004654123e-06
ebusinn,6.721295408038567e-06,7.12616571936686e-06,4.03191390130619e-05
ecg,6.648390037284428e-06,0.00022091113403174134,6.732160564088558e-06
eclips,6.659494329436355e-06,7.126165675063766e-06,0.00017502492929454404
ecludian,6.648390042553002e-06,0.0001140186497696559,6.732160569548901e-06
ecommerc,6.703272699488641e-06,7.129598437697651e-06,0.0008818542112598586
econom,0.00013949409380753432,7.126165715916578e-06,6.855794997556444e-06
economi,7.735328568524447e-06,7.71484340647141e-05,6.80238846929039e-06
ecsp,6.6483900845178994e-06,7.824255598777414e-05,6.869394497049969e-06
ecv,6.768683030441338e-06,7.12616571759192e-06,7.393195691743106e-05
ed,6.648390053861662e-06,4.2756993577950975e-05,6.732160581295961e-06
edema,6.64839005546652e-06,4.275699357451479e-05,6.7321605829170504e-06
edg,6.648390053983648e-06,0.00011401864974483326,6.732160581424305e-06
edi,6.648390063811788e-06,7.126165692624087e-06,7.40537656138599e-05
editor,8.987956371470684e-05,7.1831446606989145e-06,2.338084302583501e-05
edm,6.648390039714391e-06,0.00018528030594289527,6.732160566630153e-06
educ,3.981042159111549e-05,7.126165703179277e-06,6.8130858169961025e-06
eduk,4.5592469705267065e-05,7.12616594408734e-06,3.461898557731664e-05
edukasi,0.00021344627237066528,7.134300810852084e-06,0.0019179514789341662
edutool,6.648390055495698e-06,7.126165683102485e-06,4.039296301629933e-05
eeg,6.648390052690294e-06,0.00039906527441602104,6.732160580107476e-06
efek,6.648390147507908e-06,7.757479836670393e-06,3.9796554075161494e-05
efektif,0.0012082131223386558,0.0007093599421273823,0.0017956477204860602
efektifita,0.00016078471156060392,7.674543960036617e-05,0.0002224741062718951
efektifnya,7.664283218402466e-06,7.126165819239162e-06,7.302507196115975e-05
efektivita,0.0002871099241178693,7.1359376067265925e-06,0.00012665717652516145
eferktifita,8.156047047444268e-06,4.114099107735347e-05,6.732160783783209e-06
efesien,6.648390051321742e-06,7.126165678224068e-06,7.405376564011128e-05
efesiensi,6.93740356099545e-06,4.244719944075835e-05,4.0392973728594414e-05
effect,6.648390082875335e-06,7.911260715446054e-05,0.0003426554745367312
effici,3.918001065799345e-05,7.126165714727394e-06,7.477304522365765e-05
effisennya,6.6483900648068515e-06,4.275699355417905e-05,6.7321605926703324e-06
effisien,6.648390060707871e-06,4.275699356313366e-05,6.732160588361496e-06
efisien,0.0009095658882488074,0.0005845622417016193,0.0014417571321635233
efisiennya,3.971790417786891e-05,7.310993097621701e-06,6.73216065739885e-06
efisienpada,3.9890339859068764e-05,7.126165685907184e-06,6.732160585532553e-06
efisiensi,0.00022219483226409764,0.00010831006888031879,0.0006353828261778478
efisiensinya,6.648390047943761e-06,7.126165674424805e-06,4.039296303214439e-05
efisisen,6.648390258106198e-06,4.120424063238194e-05,8.199061740293983e-06
egovern,3.9890352810684096e-05,7.754820239881022e-05,7.525344435487614e-06
eigen,6.648390039292681e-06,0.0001852803059438256,6.732160566178313e-06
eigenvector,6.648390054427521e-06,4.275699357661198e-05,6.732160581987929e-06
ejurn,6.648390069730186e-06,7.168094091394352e-06,7.401415542666644e-05
eknolog,6.648390059972388e-06,7.126165688242316e-06,4.039296300691054e-05
ekonomi,0.0007141364856776938,0.00022737063509432849,0.00019306894338050283
ekonominya,7.0441256660693345e-06,4.2332818998198226e-05,6.732160654803465e-06
ekooparasit,6.759260162267237e-06,4.263815592947473e-05,6.7321606208052196e-06
ekoparasit,6.759260162267237e-06,4.263815592947473e-05,6.7321606208052196e-06
ekpresi,6.648390075800283e-06,4.27569935303776e-05,6.732160604023762e-06
eksekusi,7.313226450489617e-05,0.00014957653107329418,6.801099963116941e-06
eksi,3.9805980652446376e-05,7.126165718864013e-06,6.817582697211867e-06
eksistensi,6.648390063035322e-06,7.12616569173894e-06,4.0392963000505695e-05
eksklusif,7.313228984774813e-05,7.126165685640491e-06,6.732160585213155e-06
eksoti,3.974989716424182e-05,7.126165741300765e-06,6.87437282295138e-06
ekspektasi,3.989031901566227e-05,7.126165726731043e-06,0.00010771458949757243
eksperimen,0.00011295605052289177,0.00014964950322269763,0.00010104980231516861
eksportir,6.648390092823166e-06,7.126165725694784e-06,4.0392962938263824e-05
ekspresi,6.648390045700182e-06,0.0010760510080186482,6.732160572829719e-06
ekspress,6.648390062798839e-06,4.275699355859283e-05,6.7321605905339265e-06
ekstern,3.9812104032181725e-05,4.228293829804138e-05,7.2592271771616254e-06
eksterna,6.759260162267237e-06,4.263815592947473e-05,6.7321606208052196e-06
ekstraksi,6.669586222573787e-06,0.005031034051189018,6.74742207914567e-06
ekstraksinya,3.9347215603493014e-05,7.2485558961282e-06,7.166505006598615e-06
ekstrakulikul,1.287111182525792e-05,3.6087085903170355e-05,6.732160799002921e-06
ekstrasi,6.648390056100431e-06,0.00022091113399092958,6.732160583590558e-06
eksudat,6.648390070303904e-06,4.275699354233342e-05,6.732160598294662e-06
ektraksi,6.648390045642009e-06,0.00032780361826423386,6.732160572779366e-06
ekuita,6.780192444103089e-06,4.05195431506304e-05,8.712439446338226e-06
ekumpulan,6.6483900703326615e-06,4.2756993542181614e-05,6.732160598408951e-06
el,3.989033986250028e-05,7.126165684057601e-06,6.732160583805131e-06
elabilita,6.648390058222762e-06,7.1261656862515255e-06,4.039296301056296e-05
elearn,6.674682516598718e-06,7.135477366292979e-06,0.0031371513830003
elearningelectron,6.64839007284766e-06,7.1261657030257255e-06,4.039296297990689e-05
electr,0.000704718959353202,7.126165675837277e-06,6.742671655131392e-06
electreii,3.986458858214921e-05,7.12616570148534e-06,6.758236316932703e-06
electroardiograf,6.648390047995379e-06,4.275699359070635e-05,6.7321605751860876e-06
electrocardiograf,6.648390047995379e-06,4.275699359070635e-05,6.7321605751860876e-06
electrocardiogram,6.648390047995379e-06,4.275699359070635e-05,6.7321605751860876e-06
electrodiogram,6.648390047995379e-06,4.275699359070635e-05,6.7321605751860876e-06
electroencephalogram,6.648390083336102e-06,4.275699351405621e-05,6.732160611811897e-06
electroencephalogrameeg,6.648390067106387e-06,4.27569935492759e-05,6.732160594973855e-06
electroencephalographi,6.648390060106763e-06,4.2756993564320934e-05,6.732160587848548e-06
electron,6.648390059564808e-06,7.1784445085595684e-06,0.00020864758775324973
electroniclearn,6.648390052583409e-06,7.126165679756935e-06,4.039296302240892e-05
elektoda,6.648390077848636e-06,4.275699352592671e-05,6.732160606154369e-06
elektro,7.313228986610142e-05,7.1261656755438135e-06,6.732160576167122e-06
elektroda,3.989032094914325e-05,7.838784203153406e-05,6.732160670620117e-06
elektroensefalogram,6.648390077848636e-06,4.275699352592671e-05,6.732160606154369e-06
elektronik,0.00011777271121930502,7.137404468210293e-06,0.000500091488903799
elektronika,0.0001416506315848807,7.126165757561851e-06,0.00010565449238632274
elemen,6.726747498720942e-06,6.344339583540769e-05,8.80925708398364e-05
element,6.6483900425371415e-06,4.275699360256878e-05,6.732160569506581e-06
elern,3.9519548265158004e-05,7.1261657870734294e-06,7.107624102826573e-06
elfa,6.648390047494995e-06,7.126165673977437e-06,4.039296303302145e-05
elig,6.801719069185188e-06,4.2519486491745276e-05,6.8012749409061064e-06
elimin,7.313228985267901e-05,7.126165682922607e-06,6.7321605827877695e-06
eliminasi,6.648390042740248e-06,0.00032780361827055996,6.732160569741394e-06
elit,3.989033982749308e-05,7.126165703265658e-06,6.732160601107231e-06
elitecours,7.291539799761742e-05,7.126165771258843e-06,6.951785217994028e-06
elitestar,6.673339775593579e-06,7.1261656929407e-06,4.036769891735472e-05
ema,6.7259499953724044e-06,7.126165705168382e-06,4.031442579076763e-05
email,2.1558503080241022e-05,3.86707792199387e-05,9.647687406742231e-05
emerg,6.648390053970753e-06,7.126165681322707e-06,7.405376563450154e-05
emergencyâ,6.648390062451578e-06,7.126165691046178e-06,4.039296300175126e-05
emgucv,6.648390048840206e-06,4.2756993588881576e-05,6.7321605760544835e-06
emot,6.7327658224502345e-06,7.12616576419611e-06,4.030752402766364e-05
empuh,3.971790417786891e-05,7.310993097621701e-06,6.73216065739885e-06
emul,0.00010625072820300982,7.255510068741331e-06,6.735035536435435e-06
enam,7.31322896084346e-05,7.838782207169904e-05,6.732160620442679e-06
encod,3.9702051384584e-05,0.00011401870957970672,6.922765171829727e-06
encrypt,6.6483900520819035e-06,7.1261656792739535e-06,7.40537656383497e-05
end,3.9890339845090965e-05,7.126165693580631e-06,6.732160592437222e-06
endemik,3.989033987761774e-05,7.12616567575308e-06,6.732160576342616e-06
endtoend,6.648390064357403e-06,7.126165693303688e-06,4.039296299768871e-05
enemi,6.692298997017305e-06,7.126165678689128e-06,0.0004779389348151322
energi,6.6483900535585166e-06,0.0002209111339964454,6.732160580953735e-06
energik,6.7964134509999615e-06,7.12616570814435e-06,4.024307448410969e-05
enggan,7.29665346370477e-05,7.239706510745705e-06,6.792741169101254e-06
engghibhunten,6.648390053538417e-06,7.126165680848661e-06,4.039296302041051e-05
engghibunten,3.989033984494649e-05,7.126165693711101e-06,6.73216059246026e-06
engin,0.00020308492285169916,8.306388007009127e-05,0.0005776014441042598
english,6.679264657718265e-06,7.126165687132281e-06,7.40225020014493e-05
enhanc,8.964535197495419e-05,0.00048807442269723227,6.905599875217898e-06
enjeâ,3.989033984494649e-05,7.126165693711101e-06,6.73216059246026e-06
enjoy,6.648390142406887e-06,4.223216708611738e-05,7.227969370712931e-06
enkripsi,6.661133799741815e-06,0.00032866338792159283,0.000746444680708446
enkripsidekripsi,6.648390061645004e-06,7.169532469983908e-06,0.00010767359919904337
enterpric,6.648390060369335e-06,4.2714389201001944e-05,6.772409359208107e-06
enterpris,6.648390101246732e-06,0.0007550674004026061,7.021388103849838e-06
entri,6.648390053915356e-06,7.14738060401294e-06,7.403372368312164e-05
entropi,0.0003586903773123359,0.00048489841962085346,6.757397437791553e-06
envelop,7.313228983153474e-05,7.126165694506814e-06,6.7321605932546446e-06
enveron,6.648390046390076e-06,7.126165672751587e-06,4.039296303529837e-05
environ,3.8254091067081234e-05,7.126165899921553e-06,8.389026108858108e-06
environmentv,6.648390046390076e-06,7.126165672751587e-06,4.039296303529837e-05
environt,7.213608778587607e-06,4.196785400564118e-05,6.905328143099043e-06
eoq,7.282992184391678e-05,7.126165770387164e-06,7.038338382417067e-06
epilepsi,6.648390054493359e-06,0.00039906527441216887,6.732160581920761e-06
epoch,7.696307273966097e-06,0.00021181865144264946,0.0004518512334325402
epoh,6.648390068232932e-06,7.126165697761905e-06,0.0001413753708344238
eq,6.7327658224502345e-06,7.12616576419611e-06,4.030752402766364e-05
eqonom,3.9890339859068764e-05,7.126165685907184e-06,6.732160585532553e-06
equal,6.648390037245519e-06,0.0006128502429508667,6.732160564051145e-06
equat,3.989031910238355e-05,7.126165755954024e-06,7.405378676720055e-05
era,9.893303081169088e-05,4.7489189941596555e-05,0.00041372620768339067
erat,8.111901727864579e-06,4.1188308879765006e-05,6.732160734756529e-06
erd,6.648390076726023e-06,7.1261657074965035e-06,7.405376558673269e-05
erol,3.988416087672961e-05,7.126165696002655e-06,6.738417414256621e-06
eror,0.0001728414916557541,7.126165677263462e-06,6.7490185181503735e-06
eros,6.648390043841329e-06,4.275699359969082e-05,6.73216057090479e-06
erosi,0.00033557993675880325,4.6495602731380696e-05,6.732160622782832e-06
erosibilita,3.989033982217489e-05,7.126165706177181e-06,6.732160603741863e-06
erosivita,3.989033982217489e-05,7.126165706177181e-06,6.732160603741863e-06
erp,6.648390091467564e-06,0.0007859930728630754,4.5127198695680626e-05
error,0.0005062402043860471,0.0006404512664463356,0.0010568281860406196
errornya,6.648390092823166e-06,7.126165725694784e-06,4.0392962938263824e-05
es,7.169450843164236e-06,4.219848751250817e-05,6.732160674329034e-06
esai,6.648390070137199e-06,0.000826569169288227,6.794551228946435e-06
espex,6.648390047035117e-06,7.126165673423499e-06,7.405376564898709e-05
essay,6.648390047853186e-06,0.00011401864975801137,6.7321605751825995e-06
estetika,3.835639308347299e-05,8.77034688076623e-06,6.7321607211786086e-06
estimasi,0.00013959302505789123,0.00011401864834999848,6.755618728438546e-06
estimasiuntuk,3.9841558467345455e-05,7.126165714698436e-06,6.781556601482036e-06
esurat,7.313228985844277e-05,7.126165679789112e-06,6.732160579911663e-06
ethernet,3.9829750460352804e-05,7.126165689871736e-06,6.793513414244036e-06
etika,7.176540337764094e-06,4.219088850765254e-05,6.732160707743971e-06
etl,6.648390050381522e-06,7.126165677257354e-06,0.00010771456825692702
eto,6.776185797933037e-06,7.126165730380741e-06,4.026355698708592e-05
eucledian,6.7018458799409605e-06,7.230301919551288e-06,4.024045508900346e-05
euclidean,0.0001602585692540375,0.002143676011092916,2.0718458853365437e-05
euclidian,3.9757630382371566e-05,7.126165707538894e-06,6.866542197242778e-06
eulidean,6.6483900372194755e-06,7.838782169763634e-05,6.732160564046183e-06
evakuasi,6.849534100334203e-06,4.254139459664204e-05,6.732160626934008e-06
evalu,0.00014068572334318771,0.00011617941783144648,0.0001382510620512047
evaluasi,0.001031647792104077,0.0005452987306990332,0.0014225512214529582
evalusi,3.9793637526035974e-05,7.126165710429563e-06,6.830081356475169e-06
event,3.9742543200278845e-05,0.00011390249677825701,6.991550559750025e-06
evolusi,7.306831070313649e-05,7.194742572792513e-06,6.7321605979116165e-06
evolut,7.169450843164236e-06,4.219848751250817e-05,6.732160674329034e-06
evot,6.765802546361426e-06,0.00022072840072929556,6.78589863647396e-06
excel,0.00040056182730426276,7.1509812822465165e-06,0.00018006556667509626
excelso,6.6483900413178495e-06,7.126165666848583e-06,7.405376566098785e-05
excudet,6.648390064828434e-06,4.27569935541946e-05,6.732160592633795e-06
exdark,6.648390043858175e-06,4.2756993599666135e-05,6.7321605709110555e-06
exp,6.648390058222762e-06,7.1261656862515255e-06,4.039296301056296e-05
expans,0.0002391695402775579,7.311061575554261e-06,6.732160598692799e-06
expas,3.966017077788468e-05,7.372875453068484e-06,6.732160619965119e-06
expect,3.0668106738977213e-05,0.000407234617725518,4.201373675219163e-05
experi,4.050028435208431e-05,7.164074636332864e-06,0.000780277177893169
experien,6.648390142405207e-06,4.2232321980304565e-05,7.227823040613945e-06
experiencememiliki,3.989033982215057e-05,7.12616570611837e-06,6.732160603822047e-06
experinc,3.9890339864466796e-05,7.126165682940187e-06,6.732160582869482e-06
expert,6.648390055487036e-06,7.126165683176394e-06,4.039296301623828e-05
explicit,6.648390053483765e-06,4.275699357882925e-05,6.732160580848897e-06
exploit,0.00017285818542022642,7.126165739620351e-06,4.039291696596438e-05
exploitng,3.989033979574828e-05,7.126165720627135e-06,6.732160616850311e-06
explor,3.941115631321869e-05,7.1599755795542286e-06,7.185441354536166e-06
exponenti,5.3302253758303553e-05,7.138238112353712e-06,0.0007673383101346777
express,6.648390102253293e-06,7.838777580597994e-05,0.0002086970195419002
ext,6.648390096732786e-06,4.261991320094965e-05,6.861661752289472e-06
extend,6.648390143048385e-06,4.217035419506068e-05,7.286364631602703e-06
extent,8.587188367145135e-06,7.126165855736691e-06,7.209053806018824e-05
extra,6.648390064400661e-06,7.1261656932636615e-06,4.0392962997682724e-05
extract,6.690341980567394e-06,0.000375262883199523,9.649764430338988e-05
exud,6.648390041815589e-06,0.00011401864977125895,6.732160568781183e-06
fa,6.648390041407105e-06,7.838782168850036e-05,6.732160568436595e-06
face,6.675380461604878e-06,0.0003979118617205137,0.00010877687853848768
facebook,6.648390055355359e-06,0.00018521943219377684,6.789668595401989e-06
facial,6.6483900508464145e-06,7.838782166807854e-05,6.732160578170961e-06
fact,7.313228982467976e-05,7.12616569823225e-06,6.7321605966764866e-06
factor,0.0005337738631017936,0.00010166161663507659,5.68723004887984e-05
factordan,3.98903398722833e-05,7.126165678757425e-06,6.732160578906019e-06
factorfaktor,7.3132289852746e-05,7.126165682861873e-06,6.732160582777318e-06
fadhila,6.648390054272591e-06,7.838782166067199e-05,6.732160581698628e-06
fahp,0.0008640759186657515,7.134622981227036e-06,4.733462119420931e-05
fair,6.801719069185188e-06,4.2519486491745276e-05,6.8012749409061064e-06
fakta,0.0002936013670064206,7.225780135741092e-06,0.00011999906552067615
faktafakta,0.00013950541713232472,7.244898840270504e-06,6.732160617554173e-06
faktor,0.0009498586410412196,0.00027672642625791957,0.000648287403971253
faktorfaktor,0.0001374193425437584,9.01913821438384e-06,0.00020913319386060752
faktornya,6.6483900823452e-06,4.2756993516386635e-05,6.7321606106137175e-06
fakulta,0.0007130217997401246,7.137834434430477e-06,0.0002339498091764318
fals,6.648390096902409e-06,4.258145034098625e-05,6.89799800377303e-06
fanp,0.00038314729045044925,7.343231196674855e-06,6.287469792589989e-05
faq,6.7885996055736495e-06,4.260670801877088e-05,6.7321606552827775e-06
faranc,6.648390055495698e-06,7.126165683102485e-06,4.039296301629933e-05
farmasi,6.672517798741777e-06,7.134405249937848e-06,0.00014134315510349024
fase,6.664615798886839e-06,0.000292155398383329,6.7321605793931105e-06
fasenya,6.64839005546652e-06,4.275699357451479e-05,6.7321605829170504e-06
fashion,6.755179371167044e-06,7.126165708667965e-06,0.00014126723596280213
fasilit,3.9832279588764576e-05,7.126165686621637e-06,6.790952421579522e-06
fasilita,0.00040347539143770184,5.487327675717551e-05,0.0012764988463878865
fasilitasnya,3.989033983925553e-05,7.12616569679607e-06,6.7321605953085e-06
fast,7.307313902887616e-05,0.00022091123215153014,6.791964163180424e-06
fastra,6.648390070482109e-06,7.126165700181867e-06,4.039296298498889e-05
fastrata,6.648390070482109e-06,7.126165700181867e-06,4.039296298498889e-05
fatal,7.313230278950693e-05,7.126165733315979e-06,4.0392950049990584e-05
fatur,6.648390054427521e-06,4.275699357661198e-05,6.732160581987929e-06
faza,3.989033986250028e-05,7.126165684057601e-06,6.732160583805131e-06
fc,3.9829750460352804e-05,7.126165689871736e-06,6.793513414244036e-06
fcf,6.648390038651851e-06,0.00014964947786164792,6.732160565528558e-06
fch,6.6483900712622175e-06,7.838782162398652e-05,6.732160599151911e-06
fcm,0.00012905511870175688,0.00026782878919507725,6.7635232728176835e-06
fdt,6.877219496259606e-06,4.245240981396945e-05,6.788191213111191e-06
fea,6.648390052806586e-06,7.126165680033866e-06,0.0001077145682518484
feaf,6.648390052178712e-06,7.126165679255654e-06,4.039296302329229e-05
featur,6.651511384879201e-06,0.001503605637661141,6.743460921827017e-06
fec,6.648390072213968e-06,4.2587634597519374e-05,6.8921556992660905e-06
feder,6.648390148460717e-06,4.262992693703854e-05,6.852201622451458e-06
feedback,6.702822278773473e-06,0.0001495911339239669,6.7321605787730485e-06
felder,6.648390089902767e-06,7.126165722738838e-06,4.0392962944013565e-05
feldersilverman,3.919062178421604e-05,7.448251023822903e-06,7.136417925973107e-06
femal,6.6483900508464145e-06,7.838782166807854e-05,6.732160578170961e-06
fet,0.000139587663032078,7.126165692355642e-06,6.7610468117305064e-06
fft,6.648390063149114e-06,7.83878216414149e-05,6.732160590902571e-06
fia,6.6483900700609046e-06,7.2156518267606396e-06,4.030842453910035e-05
fid,6.648390049864076e-06,4.275699358686218e-05,6.732160576925449e-06
field,6.648390040857254e-06,0.0002209111340239956,6.732160567788188e-06
fight,0.0001396162241145493,7.126165739956884e-06,4.0392928425846865e-05
fik,7.078729377832031e-06,7.792655660112805e-05,6.732160683159529e-06
file,0.00030256146429097076,0.00027267710749980445,0.00026408115535155665
filenya,6.648390045887623e-06,0.00011401864976241148,6.7321605730161e-06
filesystem,6.648390075058282e-06,0.000256437054323128,6.831267974932499e-06
film,6.651754198555197e-06,0.00022090422874633035,6.735277506731077e-06
filter,6.670698558723742e-06,0.0028453348175497706,0.00011927185209029314
filteringcf,6.648390045557813e-06,4.2731562610913466e-05,6.756185480695631e-06
financ,6.648390053096716e-06,7.126165680381789e-06,4.0392963021298836e-05
financi,3.837382625515615e-05,8.001331716662527e-05,6.732160630340807e-06
fine,6.648390040036938e-06,7.838782169155896e-05,6.732160566934562e-06
finger,6.801719069185188e-06,4.2519486491745276e-05,6.8012749409061064e-06
fingerprint,6.661656688897575e-06,0.00035017612109075657,0.0001875480134185134
fingerprintbitmapsâ,6.669257711732538e-06,4.2734626295018974e-05,6.732160586112608e-06
finish,3.9890339850682426e-05,7.126165690544615e-06,6.732160589643488e-06
finit,0.0003390188034986513,7.1261656946103126e-06,6.7818653231994025e-06
fire,6.6483900545943e-06,7.126165681974762e-06,4.039296301827748e-05
firefox,3.941115631321869e-05,7.1599755795542286e-06,7.185441354536166e-06
firewal,6.64839011064765e-06,0.00017436615347920896,5.0703673007235545e-05
first,0.00015082101818908217,7.838777917590299e-05,0.00019735100602154602
firstord,6.648390037035382e-06,0.00011401864978162451,6.732160563829212e-06
firt,6.648390054039541e-06,7.126165681462519e-06,4.039296301932314e-05
fish,6.648390071686754e-06,7.838782162296473e-05,6.7321605996873406e-06
fisherfac,6.648390061580557e-06,7.838782164480582e-05,6.732160589287464e-06
fisib,6.64839005609584e-06,7.126165683725245e-06,4.03929630151033e-05
fisik,0.0015229235903428202,5.6482856812469924e-05,6.7816665836677544e-06
fisika,0.00033893521405005666,7.130032093804125e-06,6.86285538264193e-06
fisikomersi,3.989033984645747e-05,7.126165692816969e-06,6.732160591774946e-06
fit,0.0001248833251222868,0.00016539383853232803,6.776805027364603e-06
