Abstrak,Topik 1,Topik 2,Topik 3
,0.0012152758743326237,0.0012154563569912913,0.997569267768676
,0.0009497901597287602,0.0009497923874280736,0.9981004174528432
,0.3205774733522883,0.05624033133065872,0.623182195317053
,0.9970274558899004,0.0014863001959465663,0.0014862439141529072
,0.5976721268568622,0.001200662909644402,0.4011272102334934
,0.9973782386900995,0.001310860910489419,0.00131090039941112
,0.26135717337482833,0.001120036307498874,0.7375227903176728
,0.00085995226747202,0.9982800577716452,0.0008599899608828525
,0.001310875401307202,0.0013108474657810877,0.9973782771329117
,0.0009499113311733136,0.24574609276843282,0.7533039959003939
,0.0008906585536736346,0.21228638541503186,0.7868229560312945
,0.8641966709782266,0.0008674523396372321,0.13493587668213622
,0.9977085337913695,0.0011457016870053084,0.0011457645216251785
,0.31326731819019654,0.41036571123626364,0.2763669705735399
,0.08097320760619753,0.9181440090381477,0.000882783355654774
,0.9979226699304982,0.0010386912129752592,0.001038638856526576
,0.0007919243134873171,0.9984161457946873,0.0007919298918254126
,0.0009150633947872774,0.9981698919811147,0.0009150446240979372
,0.0007982267045466451,0.9984035508747865,0.000798222420666843
,0.000791893488797594,0.000791971413445299,0.9984161350977572
,0.0008750154607961533,0.0008750646740920159,0.9982499198651118
,0.0011726875230524227,0.9976547911421009,0.0011725213348467419
,0.852972420491674,0.000728440312367286,0.1462991391959588
,0.0014434116950539876,0.001443305123993223,0.9971132831809528
,0.0010610048343205683,0.9978780700318648,0.0010609251338147272
,0.9105874919070054,0.0009873257811514296,0.08842518231184324
,0.23005792644108908,0.22419103268814947,0.5457510408707614
,0.0009682217660514781,0.9980635711283787,0.0009682071055697158
,0.0012301982888479645,0.9975395271632466,0.0012302745479055286
,0.9748759110266184,0.0009777012231194462,0.024146387750262135
,0.22377894920934696,0.000882759660361648,0.7753382911302914
,0.1845110569635654,0.1754001735427765,0.6400887694936581
,0.0010495786721386965,0.9979007909715392,0.0010496303563220443
,0.9979226232840572,0.00103862788834266,0.0010387488276000444
,0.0009683323541311525,0.0009682099845628174,0.998063457661306
,0.000923655014244704,0.07612707298978344,0.9229492719959719
,0.4131214510614002,0.5860739650062002,0.0008045839323996169
,0.0010955369087234455,0.0010955033246457199,0.9978089597666309
,0.0010279814479841798,0.9979439555928863,0.0010280629591294815
,0.0008751483936229302,0.8358202749011752,0.16330457670520188
,0.46030875287209627,0.001038570470839446,0.5386526766570643
